CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
550473939,25,MANHATTAN,12/31/2021,0:30:00,12/31/2021,0:34:00,COMPLETED,,N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,,109,"ASSAULT 2,1,UNCLASSIFIED",HOMELESS SHELTER,12/31/2021,1001375,231978,40.80339359,-73.93814501,"(40.80339359100003, -73.93814501199995)"
521006090,62,BROOKLYN,12/31/2021,8:55:00,12/31/2021,9:05:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",STREET,12/31/2021,988831,161614,40.61027649,-73.98350248,"(40.61027648700008, -73.98350248499997)"
495636252,46,BRONX,12/31/2021,4:30:00,12/31/2021,7:00:00,COMPLETED,,N.Y. POLICE DEPT,351,MISDEMEANOR,OPPOSITE OF,CRIMINAL MISCHIEF & RELATED OF,,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,12/31/2021,1012831,251492,40.85692427,-73.89668221,"(40.856924271000025, -73.89668220799997)"
487940638,17,MANHATTAN,12/31/2021,1:00:00,12/31/2021,7:30:00,COMPLETED,,N.Y. POLICE DEPT,107,FELONY,INSIDE,BURGLARY,,213,"BURGLARY,COMMERCIAL,NIGHT",RESTAURANT/DINER,12/31/2021,993678,214805,40.75626981,-73.96597109,"(40.75626980700008, -73.96597108899994)"
611637311,19,MANHATTAN,12/31/2021,3:20:00,12/31/2021,3:30:00,COMPLETED,,N.Y. POLICE DEPT,351,MISDEMEANOR,REAR OF,CRIMINAL MISCHIEF & RELATED OF,,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",BAR/NIGHT CLUB,12/31/2021,998565,221377,40.77430169,-73.94831747,"(40.77430168800004, -73.94831747399996)"
493459393,77,BROOKLYN,12/31/2021,11:00:00,12/31/2021,12:00:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,12/31/2021,1001880,183866,40.6713371,-73.936447,"(40.67133709900003, -73.93644700099996)"
107033043,48,BRONX,12/31/2021,17:30:00,12/31/2021,18:00:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,12/31/2021,1017496,246631,40.84356594,-73.87984253,"(40.843565940000076, -73.87984252999998)"
202218568,120,STATEN ISLAND,12/31/2021,7:15:00,12/31/2021,8:15:00,COMPLETED,,N.Y. POLICE DEPT,351,MISDEMEANOR,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,12/31/2021,963342,167607,40.62670254,-74.07532235,"(40.62670253800008, -74.07532235299993)"
639670468,112,QUEENS,12/31/2021,10:58:00,12/31/2021,11:01:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,333,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,12/31/2021,1022107,205479,40.73059628,-73.86340922,"(40.730596278000064, -73.86340922399995)"
114584198,79,BROOKLYN,12/31/2021,11:53:00,12/31/2021,12:20:00,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,RESIDENCE - APT. HOUSE,12/31/2021,1000922,186700,40.67911765,-73.93989349,"(40.67911764600007, -73.93989348699995)"
900415368,47,BRONX,12/31/2021,14:15:00,12/31/2021,14:22:00,COMPLETED,,N.Y. POLICE DEPT,351,MISDEMEANOR,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE-HOUSE,12/31/2021,1034538,262575,40.88724669,-73.81812921,"(40.887246693000066, -73.81812920799997)"
115162604,13,MANHATTAN,12/31/2021,2:15:00,12/31/2021,2:30:00,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,STREET,12/31/2021,989429,209371,40.74135835,-73.98131203,"(40.74135835200008, -73.98131203499997)"
659829956,105,QUEENS,12/31/2021,17:20:00,12/31/2021,17:30:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,333,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,12/31/2021,1056915,192395,40.69446651,-73.73795992,"(40.69446650800006, -73.73795991699996)"
600279451,71,BROOKLYN,12/31/2021,20:10:00,12/31/2021,20:15:00,COMPLETED,,N.Y. POLICE DEPT,126,FELONY,FRONT OF,MISCELLANEOUS PENAL LAW,,117,RECKLESS ENDANGERMENT 1,STREET,12/31/2021,997886,180734,40.66274751,-73.95085132,"(40.662747508000045, -73.95085131599996)"
